id,usuario,name,city,categ
2574,0,Quik Chik,Mississauga,ChickenShop
17747,0,Charlie's Caribbean Cuisine,Mississauga,Caribbean
3501,0,Lake Affect Comfort Food & Music Lounge,Mississauga,Lounges
11776,0,San Francesco Foods,Mississauga,LocalFlavor
10824,0,Domino's Pizza,Mississauga,Caterers
4937,0,Swiss Chalet Rotisserie & Grill,Mississauga,ComfortFood
9145,0,Las Margaritas,Mississauga,LatinAmerican
10381,0,Jimmy the Greek,Mississauga,Greek
184,0,The Golden Pheasant,Mississauga,ModernEuropean
4860,0,Alexandria Fish,Mississauga,Fish&Chips
14707,1,Swiss Chalet Rotisserie & Grill,Mississauga,Barbeque
17078,1,Allspice Bakery Cafe,Mississauga,EthnicFood
13049,1,Layali Ambrosia Restaurant,Mississauga,Lebanese
7615,1,McDonald's,Mississauga,Burgers
1721,1,Pho Queen City,Mississauga,Noodles
11129,1,Taco Bell,Mississauga,Mexican
1554,1,Border MX Mexican Grill and Cantina,Mississauga,Mexican
17747,1,Charlie's Caribbean Cuisine,Mississauga,Caribbean
12964,1,Momiji Japanese Restaurant,Mississauga,Japanese
5173,1,Orchard Family Restaurant,Mississauga,Breakfast&Brunch
10824,2,Domino's Pizza,Mississauga,Caterers
0,2,Emerald Chinese Restaurant,Mississauga,DimSum
9962,2,Maz Maz Shawarma,Mississauga,Mediterranean
3778,2,Country Style Donuts,Mississauga,Donuts
12288,2,Tim Hortons,Mississauga,Donuts
3501,2,Lake Affect Comfort Food & Music Lounge,Mississauga,Lounges
509,2,KooKoo Chicken,Mississauga,Taiwanese
18817,2,Tea Room,Mississauga,TeaRooms
11006,2,Shaheen Food Centre,Mississauga,EthicalGrocery
7370,2,Second Cup,Mississauga,Coffee&Tea
10824,3,Domino's Pizza,Mississauga,Caterers
11776,3,San Francesco Foods,Mississauga,LocalFlavor
0,3,Emerald Chinese Restaurant,Mississauga,DimSum
3501,3,Lake Affect Comfort Food & Music Lounge,Mississauga,Lounges
2574,3,Quik Chik,Mississauga,ChickenShop
10875,3,Topiary's Steak & Seafood,Mississauga,Steakhouses
9962,3,Maz Maz Shawarma,Mississauga,Mediterranean
17747,3,Charlie's Caribbean Cuisine,Mississauga,Caribbean
9145,3,Las Margaritas,Mississauga,LatinAmerican
840,3,On the Bun Burgers,Mississauga,Halal
17078,4,Allspice Bakery Cafe,Mississauga,EthnicFood
13049,4,Layali Ambrosia Restaurant,Mississauga,Lebanese
11129,4,Taco Bell,Mississauga,Mexican
14707,4,Swiss Chalet Rotisserie & Grill,Mississauga,Barbeque
12964,4,Momiji Japanese Restaurant,Mississauga,Japanese
10875,4,Topiary's Steak & Seafood,Mississauga,Steakhouses
1554,4,Border MX Mexican Grill and Cantina,Mississauga,Mexican
1721,4,Pho Queen City,Mississauga,Noodles
9291,4,Social Eatery,Mississauga,Bars
7615,4,McDonald's,Mississauga,Burgers
0,5,Emerald Chinese Restaurant,Mississauga,DimSum
3778,5,Country Style Donuts,Mississauga,Donuts
10824,5,Domino's Pizza,Mississauga,Caterers
509,5,KooKoo Chicken,Mississauga,Taiwanese
9962,5,Maz Maz Shawarma,Mississauga,Mediterranean
12288,5,Tim Hortons,Mississauga,Donuts
3545,5,Osmow's Heartland,Mississauga,Mediterranean
1995,5,Sapore Halal Italian Eatery,Mississauga,Italian
11006,5,Shaheen Food Centre,Mississauga,EthicalGrocery
840,5,On the Bun Burgers,Mississauga,Halal
17078,6,Allspice Bakery Cafe,Mississauga,EthnicFood
17747,6,Charlie's Caribbean Cuisine,Mississauga,Caribbean
2574,6,Quik Chik,Mississauga,ChickenShop
13049,6,Layali Ambrosia Restaurant,Mississauga,Lebanese
1554,6,Border MX Mexican Grill and Cantina,Mississauga,Mexican
10381,6,Jimmy the Greek,Mississauga,Greek
10875,6,Topiary's Steak & Seafood,Mississauga,Steakhouses
7615,6,McDonald's,Mississauga,Burgers
2501,6,Pizzaville,Mississauga,American(Traditional)
16105,6,Salt and Pepper,Mississauga,Halal
